dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000034,0.223100,0.000063,0.002500,0.050000,1.000000,0.000014
0.050000,0.000264,0.223100,0.000292,0.004596,0.041910,-0.161795,0.000104
0.050000,0.000781,0.223100,0.000809,0.010340,0.114885,1.459491,0.000308
0.050000,0.001700,0.223101,0.001728,0.018381,0.160830,0.918912,0.000671
0.050000,0.003136,0.223102,0.003164,0.028719,0.206763,0.918656,0.001238
0.050000,0.005204,0.223105,0.005232,0.041353,0.252675,0.918238,0.002055
0.050000,0.008018,0.223113,0.008046,0.056281,0.298556,0.917619,0.003169
0.050000,0.011693,0.223127,0.011721,0.073501,0.344394,0.916758,0.004626
0.050000,0.016286,0.223152,0.016314,0.091861,0.367212,0.456352,0.006450
0.050000,0.021796,0.223194,0.021825,0.110212,0.367018,-0.003874,0.008643
0.050000,0.028224,0.223258,0.028252,0.128551,0.366786,-0.004630,0.011209
0.050000,0.035567,0.223351,0.035596,0.146877,0.366518,-0.005374,0.014150
0.050000,0.043825,0.223482,0.043856,0.165188,0.366212,-0.006104,0.017470
0.050000,0.052998,0.223659,0.053030,0.183482,0.365872,-0.006817,0.021172
0.050000,0.063083,0.223893,0.063117,0.201756,0.365496,-0.007509,0.025260
0.050000,0.074079,0.224195,0.074118,0.220011,0.365087,-0.008175,0.029740
0.050000,0.085985,0.224579,0.086030,0.238243,0.364647,-0.008811,0.034616
0.050000,0.098799,0.225056,0.098853,0.256452,0.364176,-0.009410,0.039893
0.050000,0.112518,0.225643,0.112585,0.274636,0.363678,-0.009968,0.045578
0.050000,0.127140,0.226354,0.127224,0.292794,0.363154,-0.010475,0.051675
0.050000,0.142663,0.227208,0.142770,0.310924,0.362608,-0.010924,0.058191
0.050000,0.159083,0.228222,0.159222,0.329026,0.362043,-0.011305,0.065133
0.050000,0.176397,0.229415,0.176577,0.347099,0.361462,-0.011609,0.072506
0.050000,0.194601,0.230809,0.194834,0.365143,0.360871,-0.011823,0.080318
0.050000,0.213691,0.232424,0.213992,0.383156,0.360275,-0.011934,0.088575
0.050000,0.233661,0.234285,0.234049,0.401140,0.359678,-0.011928,0.097284
0.050000,0.254507,0.236416,0.255003,0.419095,0.359089,-0.011792,0.106451
0.050000,0.276223,0.238842,0.276854,0.437020,0.358513,-0.011507,0.116083
0.050000,0.298802,0.241591,0.299600,0.454918,0.357960,-0.011058,0.126186
0.050000,0.322238,0.244690,0.323240,0.472790,0.357439,-0.010425,0.136766
0.050000,0.346522,0.248169,0.347772,0.490638,0.356960,-0.009590,0.147828
0.050000,0.371646,0.252058,0.373195,0.508465,0.356533,-0.008535,0.159377
0.050000,0.397600,0.256390,0.399509,0.526274,0.356171,-0.007240,0.171417
0.050000,0.424376,0.261198,0.426712,0.544068,0.355886,-0.005688,0.183952
0.050000,0.451960,0.266517,0.454805,0.561853,0.355693,-0.003861,0.196982
0.050000,0.480342,0.272381,0.483786,0.579633,0.355606,-0.001746,0.210510
0.050000,0.509509,0.278827,0.513657,0.597415,0.355640,0.000670,0.224536
0.050000,0.539447,0.285893,0.544417,0.615205,0.355809,0.003395,0.239056
0.050000,0.570140,0.293618,0.576068,0.633012,0.356131,0.006431,0.254068
0.050000,0.601574,0.302041,0.608610,0.650843,0.356620,0.009776,0.269565
0.050000,0.633729,0.311202,0.642046,0.668707,0.357291,0.013419,0.285541
0.050000,0.666589,0.321143,0.676376,0.686615,0.358158,0.017342,0.301986
0.050000,0.700134,0.331904,0.711605,0.704577,0.359234,0.021517,0.318888
0.050000,0.734344,0.343528,0.747735,0.722603,0.360529,0.025909,0.336231
0.050000,0.769195,0.356058,0.784771,0.740706,0.362053,0.030471,0.354000
0.050000,0.804666,0.369534,0.822715,0.758897,0.363810,0.035144,0.372174
0.050000,0.840732,0.384001,0.861575,0.777187,0.365803,0.039864,0.390732
0.050000,0.877368,0.399499,0.901354,0.795588,0.368031,0.044554,0.409647
0.050000,0.914548,0.416070,0.942060,0.814113,0.370487,0.049133,0.428893
0.050000,0.952244,0.433756,0.983698,0.832771,0.373163,0.053513,0.448439
0.050000,0.990377,0.452571,1.026220,0.850440,0.353385,-0.395551,0.468228
0.050000,1.028819,0.472497,1.069520,0.865991,0.311019,-0.847324,0.488173
0.050000,1.067445,0.493508,1.113491,0.879420,0.268585,-0.848679,0.508189
0.050000,1.106134,0.515568,1.158027,0.890720,0.225997,-0.851760,0.528195
0.050000,1.144768,0.538631,1.203021,0.899879,0.183172,-0.856505,0.548109
0.050000,1.183234,0.562641,1.248365,0.906880,0.140033,-0.862785,0.567855
0.050000,1.221423,0.587532,1.293950,0.911706,0.096512,-0.870411,0.587359
0.050000,1.259232,0.613232,1.339667,0.914334,0.052555,-0.879152,0.606555
0.050000,1.296609,0.639691,1.385461,0.915885,0.031034,-0.430420,0.625404
0.050000,1.333550,0.666891,1.431336,0.917492,0.032124,0.021803,0.643892
0.050000,1.370052,0.694813,1.477293,0.919143,0.033028,0.018085,0.662010
0.050000,1.406115,0.723437,1.523334,0.920831,0.033754,0.014514,0.679751
0.050000,1.441735,0.752744,1.569462,0.922546,0.034310,0.011120,0.697107
0.050000,1.476914,0.782715,1.615676,0.924281,0.034706,0.007929,0.714074
0.050000,1.511650,0.813328,1.661977,0.926029,0.034954,0.004958,0.730650
0.050000,1.545945,0.844566,1.708366,0.927782,0.035065,0.002217,0.746832
0.050000,1.579800,0.876408,1.754843,0.929535,0.035051,-0.000286,0.762622
0.050000,1.613218,0.908835,1.801407,0.931281,0.034923,-0.002552,0.778021
0.050000,1.646199,0.941827,1.848058,0.933016,0.034694,-0.004583,0.793032
0.050000,1.678748,0.975366,1.894795,0.934734,0.034375,-0.006386,0.807657
0.050000,1.710868,1.009434,1.941616,0.936433,0.033976,-0.007969,0.821901
0.050000,1.742563,1.044011,1.988522,0.938109,0.033509,-0.009344,0.835770
0.050000,1.773836,1.079080,2.035510,0.939758,0.032983,-0.010524,0.849270
0.050000,1.804693,1.114624,2.082578,0.941378,0.032407,-0.011521,0.862406
0.050000,1.836593,1.152275,2.131927,0.986962,0.911670,17.585275,0.865258
0.050000,1.875671,1.196366,2.190843,1.178331,3.827378,58.314142,0.825274
0.050000,1.917405,1.239599,2.250933,1.201793,0.469247,-67.162611,0.780026
0.050000,1.962175,1.281709,2.312395,1.229248,0.549107,1.597202,0.728618
0.050000,2.010410,1.322323,2.375452,1.261137,0.637779,1.773435,0.670052
0.050000,2.062558,1.360926,2.440333,1.297619,0.729628,1.836986,0.603298
0.050000,2.119037,1.396805,2.507245,1.338243,0.812484,1.657114,0.527421
0.050000,2.180138,1.429021,2.576319,1.381482,0.864778,1.045875,0.441830
0.050000,2.245873,1.456409,2.647531,1.424230,0.854959,-0.196371,0.346634
0.050000,2.315791,1.477675,2.720612,1.461624,0.747883,-2.141525,0.243030
0.050000,2.388860,1.491616,2.794998,1.487730,0.522131,-4.515027,0.133556
0.050000,2.463502,1.497430,2.869867,1.497375,0.192888,-6.584873,0.021912
0.050000,2.537882,1.494965,2.944287,1.488398,-0.179534,-7.448431,6.195473
0.050000,2.610303,1.484755,3.017425,1.462753,-0.512904,-6.667412,6.091616
0.050000,2.679538,1.467823,3.088700,1.425512,-0.744813,-4.638173,5.996131
0.050000,2.744927,1.445384,3.157832,1.382632,-0.857604,-2.255819,5.910282
0.050000,2.806290,1.418602,3.224785,1.339066,-0.871315,-0.274228,5.834220
0.050000,2.863768,1.388462,3.289686,1.298019,-0.820954,1.007227,5.767376
0.050000,2.917668,1.355741,3.352741,1.261090,-0.738573,1.647622,5.708821
0.050000,2.968359,1.321026,3.414179,1.228773,-0.646341,1.844636,5.657520
0.050000,3.016212,1.284754,3.474226,1.200928,-0.556887,1.789081,5.612466
0.050000,3.061570,1.247248,3.533082,1.177122,-0.476126,1.615230,5.572753
0.050000,3.104737,1.208748,3.590923,1.156822,-0.406002,1.402466,5.537593
0.050000,3.145976,1.169435,3.647898,1.139501,-0.346412,1.191807,5.506319
0.050000,3.178891,1.137153,3.694001,0.922070,-4.348631,-80.044388,5.523715
0.050000,3.209177,1.109512,3.735005,0.820075,-2.039907,46.174479,5.564026
0.050000,3.239797,1.083870,3.774944,0.798781,-0.425881,32.280538,5.609108
0.050000,3.270636,1.060453,3.813666,0.774429,-0.487037,-1.223120,5.659643
0.050000,3.301542,1.039494,3.851008,0.746857,-0.551433,-1.287924,5.716354
0.050000,3.332331,1.021210,3.886817,0.716171,-0.613727,-1.245877,5.779937
0.050000,3.362797,1.005786,3.920964,0.682948,-0.664448,-1.014438,5.850961
0.050000,3.392739,0.993343,3.953389,0.648496,-0.689047,-0.491980,5.929700
0.050000,3.422014,0.983922,3.984142,0.615066,-0.668605,0.408857,6.015927
0.050000,3.450590,0.977481,4.013436,0.585862,-0.584083,1.690438,6.108695
0.050000,3.478596,0.973926,4.041666,0.564610,-0.425035,3.180962,6.206222
0.050000,3.506316,0.973172,4.069397,0.554616,-0.199869,4.503320,0.022802
0.050000,3.534124,0.975196,4.097278,0.557619,0.060051,5.198385,0.121895
0.050000,3.562363,0.980055,4.125932,0.573083,0.309276,4.984508,0.217524
0.050000,3.591252,0.987846,4.155853,0.598424,0.506832,3.951124,0.307478
0.050000,3.620843,0.998645,4.187353,0.630003,0.631581,2.494981,0.390359
0.050000,3.651047,1.012458,4.220566,0.664244,0.684812,1.064612,0.465572
0.050000,3.681686,1.029206,4.255483,0.698354,0.682201,-0.052209,0.533146
0.050000,3.712553,1.048736,4.292010,0.730532,0.643554,-0.772958,0.593513
0.050000,3.743449,1.070844,4.330002,0.759835,0.586065,-1.149773,0.647317
0.050000,3.774205,1.095304,4.369298,0.785931,0.521917,-1.282966,0.695276
0.050000,3.804685,1.121886,4.409741,0.808858,0.458534,-1.267643,0.738100
0.050000,3.834790,1.150367,4.451183,0.828849,0.399822,-1.174240,0.776446
0.050000,3.873528,1.188197,4.505329,1.082906,5.081145,93.626447,0.757794
0.050000,3.917207,1.227909,4.564362,1.180662,1.955123,-62.520435,0.717287
0.050000,3.963370,1.266397,4.624464,1.202050,0.427766,-30.547142,0.671981
0.050000,4.012301,1.303362,4.685789,1.226497,0.488941,1.223498,0.621191
0.050000,4.064298,1.338413,4.748497,1.254155,0.553146,1.284095,0.564193
0.050000,4.119641,1.371041,4.812742,1.284899,0.614890,1.234882,0.500294
0.050000,4.178546,1.400601,4.878648,1.318125,0.664518,0.992560,0.428934
0.050000,4.241096,1.426303,4.946273,1.352490,0.687307,0.455777,0.349857
