dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.140820,1.256899,0.001250,0.050000,1.000000,20.000000,6.281343
0.050000,0.143312,1.256888,0.003742,0.049839,-0.003224,-20.064485,6.275704
0.050000,0.147444,1.256837,0.007874,0.082641,0.656049,13.185462,6.266211
0.050000,0.153183,1.256701,0.013615,0.114815,0.643477,-0.251436,6.252723
0.050000,0.160484,1.256414,0.020921,0.146126,0.626223,-0.345085,6.235047
0.050000,0.169287,1.255893,0.029739,0.176368,0.604843,-0.427594,6.212943
0.050000,0.179520,1.255036,0.040009,0.205388,0.580385,-0.489171,6.186137
0.050000,0.191102,1.253724,0.051665,0.233121,0.554670,-0.514283,6.154342
0.050000,0.203945,1.251820,0.064648,0.259654,0.530663,-0.480156,6.117289
0.050000,0.217961,1.249167,0.078912,0.285296,0.512839,-0.356482,6.074778
0.050000,0.233077,1.245592,0.094446,0.310667,0.507426,-0.108246,6.026750
0.050000,0.249246,1.240889,0.111285,0.336778,0.522208,0.295637,5.973370
0.050000,0.266460,1.234820,0.129537,0.365053,0.565502,0.865874,5.915124
0.050000,0.284760,1.227097,0.149400,0.397255,0.644036,1.570692,5.852891
0.050000,0.304230,1.217374,0.171163,0.435254,0.759975,2.318780,5.787972
0.050000,0.324981,1.205251,0.195196,0.480666,0.908257,2.965628,5.722027
0.050000,0.347121,1.190284,0.221920,0.534470,1.076082,3.356500,5.656936
0.050000,0.370723,1.172030,0.251758,0.596759,1.245767,3.393713,5.594600
0.050000,0.395821,1.150086,0.285096,0.666766,1.400148,3.087616,5.536747
0.050000,0.422408,1.124128,0.322254,0.743158,1.527829,2.553612,5.484806
0.050000,0.449789,1.094706,0.362445,0.803832,1.213480,-6.286972,5.440856
0.050000,0.477285,1.062723,0.404623,0.843552,0.794397,-8.381673,5.405804
0.050000,0.504946,1.028466,0.448653,0.880596,0.740890,-1.070134,5.379049
0.050000,0.532876,0.992217,0.494414,0.915227,0.692628,-0.965237,5.360054
0.050000,0.561228,0.954232,0.541813,0.947978,0.655016,-0.752248,5.348396
0.050000,0.590205,0.914749,0.590789,0.979514,0.630714,-0.486032,5.343805
0.050000,0.620056,0.873981,0.641317,1.010557,0.620871,-0.196859,5.346171
0.050000,0.651078,0.832133,0.693409,1.041849,0.625835,0.099281,5.355551
0.050000,0.683618,0.789408,0.747115,1.074120,0.645422,0.391734,5.372165
0.050000,0.718079,0.746026,0.802518,1.108059,0.678778,0.667121,5.396389
0.050000,0.754917,0.702252,0.859731,1.144250,0.723819,0.900817,5.428729
0.050000,0.794638,0.658419,0.918883,1.183059,0.776172,1.047058,5.469774
0.050000,0.837777,0.614977,0.980105,1.224439,0.827614,1.028843,5.520103
0.050000,0.884850,0.572534,1.043488,1.267655,0.864313,0.733981,5.580131
0.050000,0.936277,0.531892,1.109036,1.310952,0.865943,0.032615,5.649879
0.050000,0.992255,0.494053,1.176603,1.351346,0.807884,-1.161198,5.728700
0.050000,1.052626,0.460148,1.245843,1.384799,0.669052,-2.776637,5.815035
0.050000,1.116787,0.431289,1.316196,1.407053,0.445090,-4.479228,5.906372
0.050000,1.183716,0.408345,1.386947,1.415035,0.159631,-5.709193,5.999502
0.050000,1.252142,0.391766,1.457354,1.408125,-0.138210,-5.956806,6.091079
0.050000,1.320803,0.381516,1.526776,1.388439,-0.393708,-5.109963,6.178233
0.050000,1.388659,0.377157,1.594771,1.359912,-0.570534,-3.536524,6.258977
0.050000,1.454119,0.377882,1.660235,1.309275,-1.012758,-8.844471,0.045268
0.050000,1.521266,0.383492,1.727616,1.347618,0.766863,35.592417,0.123251
0.050000,1.591244,0.395456,1.798610,1.419877,1.445177,13.566267,0.217469
0.050000,1.663584,0.415693,1.873727,1.502355,1.649563,4.087736,0.330233
0.050000,1.736742,0.446196,1.952990,1.585244,1.657790,0.164535,0.461651
0.050000,1.807716,0.488165,2.035444,1.649084,1.276798,-7.619847,0.607448
0.050000,1.872521,0.540874,2.118978,1.670677,0.431847,-16.899020,0.758112
0.050000,1.927792,0.601373,2.200923,1.638907,-0.635381,-21.344548,0.901616
0.050000,1.972271,0.665731,2.279156,1.564655,-1.485045,-16.993284,1.028399
0.050000,2.006780,0.730695,2.352716,1.471204,-1.869017,-7.679452,1.134157
0.050000,2.033170,0.794352,2.421626,1.378207,-1.859939,0.181573,1.219011
0.050000,2.053395,0.855887,2.486400,1.295470,-1.654744,4.103904,1.285284
