dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000038,0.000000,0.000063,0.002500,0.050000,1.000000,0.000014
0.050000,0.000288,0.000000,0.000313,0.007500,0.100000,1.000000,0.000104
0.050000,0.000850,0.000000,0.000875,0.015000,0.150000,1.000000,0.000308
0.050000,0.001850,0.000001,0.001875,0.025000,0.200000,1.000000,0.000671
0.050000,0.003412,0.000002,0.003438,0.037500,0.250000,1.000000,0.001238
0.050000,0.005662,0.000006,0.005687,0.052500,0.300000,1.000000,0.002055
0.050000,0.008725,0.000014,0.008750,0.070000,0.350000,1.000000,0.003169
0.050000,0.012725,0.000029,0.012750,0.090000,0.400000,1.000000,0.004626
0.050000,0.017725,0.000057,0.017750,0.110000,0.400000,0.000000,0.006450
0.050000,0.023725,0.000102,0.023750,0.130000,0.400000,0.000000,0.008643
0.050000,0.030724,0.000172,0.030750,0.150000,0.400000,-0.000000,0.011209
0.050000,0.038724,0.000273,0.038750,0.170000,0.400000,0.000000,0.014150
0.050000,0.047723,0.000416,0.047750,0.190000,0.400000,-0.000000,0.017470
0.050000,0.057721,0.000609,0.057750,0.210000,0.400000,0.000000,0.021172
0.050000,0.068718,0.000864,0.068750,0.230000,0.400000,0.000000,0.025260
0.050000,0.080713,0.001194,0.080750,0.250000,0.400000,-0.000000,0.029740
0.050000,0.093706,0.001612,0.093750,0.270000,0.400000,0.000000,0.034616
0.050000,0.107697,0.002134,0.107750,0.290000,0.400000,-0.000000,0.039893
0.050000,0.122683,0.002774,0.122750,0.310000,0.400000,0.000000,0.045578
0.050000,0.138664,0.003552,0.138750,0.330000,0.400000,0.000000,0.051675
0.050000,0.155638,0.004485,0.155750,0.350000,0.400000,-0.000000,0.058191
0.050000,0.173604,0.005595,0.173750,0.370000,0.400000,0.000000,0.065133
0.050000,0.192559,0.006901,0.192750,0.390000,0.400000,0.000000,0.072506
0.050000,0.212501,0.008428,0.212750,0.410000,0.400000,-0.000000,0.080318
0.050000,0.233426,0.010199,0.233750,0.430000,0.400000,0.000000,0.088575
0.050000,0.255331,0.012240,0.255750,0.450000,0.400000,0.000000,0.097284
0.050000,0.278212,0.014579,0.278750,0.470000,0.400000,-0.000000,0.106451
0.050000,0.302063,0.017244,0.302750,0.490000,0.400000,0.000000,0.116083
0.050000,0.326880,0.020265,0.327750,0.510000,0.400000,0.000000,0.126186
0.050000,0.352655,0.023673,0.353750,0.530000,0.400000,0.000000,0.136766
0.050000,0.379382,0.027502,0.380750,0.550000,0.400000,0.000000,0.147828
0.050000,0.407053,0.031786,0.408750,0.570000,0.400000,-0.000000,0.159377
0.050000,0.435657,0.036560,0.437750,0.590000,0.400000,0.000000,0.171417
0.050000,0.465184,0.041862,0.467750,0.610000,0.400000,0.000000,0.183952
0.050000,0.495623,0.047731,0.498750,0.630000,0.400000,0.000000,0.196982
0.050000,0.526961,0.054206,0.530750,0.650000,0.400000,0.000000,0.210510
0.050000,0.559183,0.061327,0.563750,0.670000,0.400000,0.000000,0.224536
0.050000,0.592274,0.069138,0.597750,0.690000,0.400000,-0.000000,0.239056
0.050000,0.626215,0.077680,0.632750,0.710000,0.400000,0.000000,0.254068
0.050000,0.660988,0.086998,0.668750,0.730000,0.400000,0.000000,0.269565
0.050000,0.696572,0.097136,0.705750,0.750000,0.400000,0.000000,0.285541
0.050000,0.732943,0.108138,0.743750,0.770000,0.400000,0.000000,0.301986
0.050000,0.770079,0.120052,0.782750,0.790000,0.400000,0.000000,0.318888
0.050000,0.807951,0.132921,0.822750,0.810000,0.400000,0.000000,0.336231
0.050000,0.846533,0.146791,0.863750,0.830000,0.400000,-0.000000,0.354000
0.050000,0.885795,0.161708,0.905750,0.850000,0.400000,0.000000,0.372174
0.050000,0.925703,0.177716,0.948750,0.870000,0.400000,0.000000,0.390732
0.050000,0.966226,0.194858,0.992750,0.890000,0.400000,0.000000,0.409647
0.050000,1.007328,0.213177,1.037750,0.910000,0.400000,0.000000,0.428893
0.050000,1.048971,0.232715,1.083750,0.930000,0.400000,0.000000,0.448439
0.050000,1.091063,0.253483,1.130688,0.947500,0.350000,-1.000000,0.468228
0.050000,1.133456,0.275457,1.178438,0.962500,0.300000,-1.000000,0.488173
0.050000,1.176005,0.298602,1.226875,0.975000,0.250000,-1.000000,0.508189
0.050000,1.218571,0.322873,1.275875,0.985000,0.200000,-1.000000,0.528195
0.050000,1.261019,0.348213,1.325313,0.992500,0.150000,-1.000000,0.548109
0.050000,1.303222,0.374555,1.375063,0.997500,0.100000,-1.000000,0.567855
0.050000,1.345057,0.401822,1.425000,1.000000,0.050000,-1.000000,0.587359
0.050000,1.386408,0.429929,1.475000,1.000000,0.000000,-1.000000,0.606555
0.050000,1.427217,0.458818,1.525000,1.000000,0.000000,0.000000,0.625404
0.050000,1.467480,0.488464,1.575000,1.000000,0.000000,0.000000,0.643892
0.050000,1.507193,0.518841,1.625000,1.000000,0.000000,0.000000,0.662010
0.050000,1.546355,0.549926,1.675000,1.000000,0.000000,0.000000,0.679751
0.050000,1.584966,0.581693,1.725000,1.000000,0.000000,0.000000,0.697107
0.050000,1.623026,0.614118,1.775000,1.000000,0.000000,0.000000,0.714074
0.050000,1.660537,0.647177,1.825000,1.000000,0.000000,0.000000,0.730650
0.050000,1.697501,0.680845,1.875000,1.000000,0.000000,0.000000,0.746832
0.050000,1.733922,0.715101,1.925000,1.000000,0.000000,0.000000,0.762622
0.050000,1.769805,0.749920,1.975000,1.000000,0.000000,0.000000,0.778021
0.050000,1.805154,0.785281,2.025000,1.000000,0.000000,0.000000,0.793032
0.050000,1.839976,0.821161,2.075000,1.000000,0.000000,0.000000,0.807657
0.050000,1.874276,0.857541,2.125000,1.000000,0.000000,0.000000,0.821901
0.050000,1.908061,0.894399,2.175000,1.000000,0.000000,0.000000,0.835770
0.050000,1.941339,0.931715,2.225000,1.000000,0.000000,0.000000,0.849270
0.050000,1.974117,0.969472,2.275000,1.000000,0.000000,0.000000,0.862406
0.050000,2.006431,1.007607,2.325000,1.000000,0.000000,0.000000,0.865258
0.050000,2.039590,1.045025,2.375000,1.000000,0.000000,0.000000,0.825274
0.050000,2.074310,1.080998,2.425000,1.000000,0.000000,0.000000,0.780026
0.050000,2.110724,1.115255,2.475000,1.000000,0.000000,0.000000,0.728618
0.050000,2.148962,1.147460,2.525000,1.000000,0.000000,0.000000,0.670052
0.050000,2.189136,1.177210,2.575000,1.000000,0.000000,0.000000,0.603298
0.050000,2.231325,1.204023,2.625000,1.000000,0.000000,0.000000,0.527421
0.050000,2.275535,1.227346,2.675000,1.000000,0.000000,0.000000,0.441830
0.050000,2.321667,1.246579,2.725000,1.000000,0.000000,0.000000,0.346634
0.050000,2.369479,1.261131,2.775000,1.000000,0.000000,0.000000,0.243030
0.050000,2.418568,1.270502,2.825000,1.000000,0.000000,0.000000,0.133556
0.050000,2.468391,1.274384,2.875000,1.000000,0.000000,0.000000,0.021912
0.050000,2.518338,1.272723,2.925000,1.000000,0.000000,0.000000,6.195473
0.050000,2.567825,1.265736,2.975000,1.000000,0.000000,0.000000,6.091616
0.050000,2.616372,1.253852,3.025000,1.000000,0.000000,0.000000,5.996131
0.050000,2.663647,1.237617,3.075000,1.000000,0.000000,0.000000,5.910282
0.050000,2.709457,1.217612,3.125000,1.000000,0.000000,0.000000,5.834220
0.050000,2.753727,1.194389,3.175000,1.000000,0.000000,0.000000,5.767376
0.050000,2.796458,1.168440,3.225000,1.000000,0.000000,0.000000,5.708821
0.050000,2.837704,1.140187,3.275000,1.000000,0.000000,0.000000,5.657520
0.050000,2.877545,1.109983,3.325000,1.000000,0.000000,0.000000,5.612466
0.050000,2.916073,1.078121,3.375000,1.000000,0.000000,0.000000,5.572753
0.050000,2.953384,1.044840,3.425000,1.000000,0.000000,0.000000,5.537593
0.050000,2.989572,1.010340,3.475000,1.000000,0.000000,0.000000,5.506319
0.050000,3.025278,0.975361,3.525000,1.000000,0.000000,0.000000,5.523715
0.050000,3.062210,0.941660,3.575000,1.000000,0.000000,0.000000,5.564026
0.050000,3.100544,0.909565,3.625000,1.000000,0.000000,0.000000,5.609108
0.050000,3.140365,0.879337,3.675000,1.000000,0.000000,0.000000,5.659643
0.050000,3.181746,0.851285,3.725000,1.000000,0.000000,0.000000,5.716354
0.050000,3.224736,0.825770,3.775000,1.000000,0.000000,0.000000,5.779937
0.050000,3.269342,0.803203,3.825000,1.000000,0.000000,0.000000,5.850961
0.050000,3.315509,0.784037,3.875000,1.000000,0.000000,0.000000,5.929700
0.050000,3.363096,0.768743,3.925000,1.000000,0.000000,0.000000,6.015927
0.050000,3.411858,0.757769,3.975000,1.000000,0.000000,0.000000,6.108695
0.050000,3.461442,0.751487,4.025000,1.000000,0.000000,0.000000,6.206222
0.050000,3.511403,0.750130,4.075000,1.000000,0.000000,0.000000,0.022802
0.050000,3.561251,0.753752,4.125000,1.000000,0.000000,0.000000,0.121895
0.050000,3.610511,0.762213,4.175000,1.000000,0.000000,0.000000,0.217524
0.050000,3.658774,0.775209,4.225000,1.000000,0.000000,0.000000,0.307478
0.050000,3.705737,0.792328,4.275000,1.000000,0.000000,0.000000,0.390359
0.050000,3.751204,0.813103,4.325000,1.000000,0.000000,0.000000,0.465572
0.050000,3.795075,0.837069,4.375000,1.000000,0.000000,0.000000,0.533146
0.050000,3.837327,0.863790,4.425000,1.000000,0.000000,0.000000,0.593513
0.050000,3.877989,0.892876,4.475000,1.000000,0.000000,0.000000,0.647317
0.050000,3.917122,0.923991,4.525000,1.000000,0.000000,0.000000,0.695276
0.050000,3.954805,0.956848,4.575000,1.000000,0.000000,0.000000,0.738100
