dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001018,0.223100,0.001132,0.045290,0.905796,18.115918,0.000402
0.050000,0.004139,0.223103,0.004254,0.062433,0.342866,-11.258605,0.001635
0.050000,0.009341,0.223117,0.009456,0.104038,0.832107,9.784831,0.003693
0.050000,0.016622,0.223155,0.016737,0.145619,0.831608,-0.009982,0.006583
0.050000,0.025980,0.223234,0.026095,0.187164,0.830913,-0.013909,0.010312
0.050000,0.037412,0.223378,0.037528,0.228666,0.830025,-0.017760,0.014891
0.050000,0.050916,0.223616,0.051034,0.270113,0.828949,-0.021509,0.020330
0.050000,0.066486,0.223981,0.066609,0.311498,0.827693,-0.025116,0.026644
0.050000,0.084119,0.224515,0.084249,0.352811,0.826267,-0.028534,0.033850
0.050000,0.103807,0.225261,0.103952,0.394045,0.824681,-0.031707,0.041964
0.050000,0.125543,0.226272,0.125711,0.435193,0.822953,-0.034564,0.051007
0.050000,0.149318,0.227605,0.149524,0.476248,0.821102,-0.037018,0.060999
0.050000,0.175121,0.229323,0.175384,0.517206,0.819154,-0.038967,0.071961
0.050000,0.202940,0.231495,0.203287,0.558063,0.817139,-0.040289,0.083917
0.050000,0.232759,0.234198,0.233228,0.598818,0.815097,-0.040841,0.096889
0.050000,0.264560,0.237513,0.265202,0.639471,0.813074,-0.040460,0.110899
0.050000,0.298323,0.241530,0.299203,0.680028,0.811126,-0.038963,0.125970
0.050000,0.334025,0.246344,0.335228,0.720494,0.809319,-0.036150,0.142122
0.050000,0.371637,0.252057,0.373272,0.760880,0.807728,-0.031807,0.159373
0.050000,0.411130,0.258777,0.413332,0.801202,0.806443,-0.025713,0.177736
0.050000,0.452467,0.266618,0.455406,0.841480,0.805560,-0.017657,0.197223
0.050000,0.495608,0.275701,0.499493,0.881739,0.805187,-0.007447,0.217836
0.050000,0.540508,0.286152,0.545593,0.922011,0.805441,0.005069,0.239573
0.050000,0.587117,0.298102,0.593710,0.962333,0.806440,0.019975,0.262423
0.050000,0.635379,0.311687,0.643847,1.002749,0.808303,0.037265,0.286364
0.050000,0.685232,0.327046,0.696013,1.043306,0.811144,0.056812,0.311366
0.050000,0.736608,0.344321,0.750216,1.084059,0.815061,0.078342,0.337383
0.050000,0.789434,0.363657,0.806469,1.125065,0.820131,0.101417,0.364360
0.050000,0.843630,0.385197,0.864788,1.166386,0.826403,0.125423,0.392225
0.050000,0.899110,0.409085,0.925192,1.208080,0.833882,0.149579,0.420896
0.050000,0.955782,0.435462,0.987702,1.250206,0.842530,0.172965,0.450275
0.050000,1.013551,0.464466,1.052343,1.292819,0.852258,0.194570,0.480252
0.050000,1.072314,0.496228,1.119142,1.335965,0.862926,0.213360,0.510710
0.050000,1.131967,0.530874,1.188126,1.379683,0.874345,0.228366,0.541519
0.050000,1.192401,0.568519,1.259326,1.423997,0.886283,0.238765,0.572547
0.050000,1.253505,0.609271,1.332772,1.468921,0.898481,0.243966,0.603656
0.050000,1.315166,0.653223,1.408494,1.514454,0.910665,0.243670,0.634709
0.050000,1.377272,0.700460,1.486523,1.560582,0.922560,0.237901,0.665575
0.050000,1.439713,0.751052,1.566887,1.607277,0.933910,0.227000,0.696126
0.050000,1.502378,0.805057,1.649612,1.654502,0.944489,0.211594,0.726243
0.050000,1.565164,0.862518,1.734723,1.702208,0.954116,0.192524,0.755819
0.050000,1.627968,0.923467,1.822240,1.750340,0.962654,0.170764,0.784758
0.050000,1.690696,0.987925,1.912182,1.798841,0.970021,0.147336,0.812977
0.050000,1.753259,1.055898,2.004564,1.847651,0.976182,0.123229,0.840408
0.050000,1.815575,1.127386,2.099400,1.896708,0.981149,0.099331,0.866995
0.050000,1.892714,1.214495,2.215754,2.327089,8.607621,152.529440,0.807112
0.050000,1.986922,1.303148,2.345116,2.587238,5.202978,-68.092857,0.698971
0.050000,2.100118,1.385455,2.485073,2.799138,4.238002,-19.299508,0.553217
0.050000,2.237102,1.453177,2.637883,3.056200,5.141245,18.064849,0.359484
0.050000,2.395510,1.492475,2.801093,3.264192,4.159838,-19.628135,0.123580
0.050000,2.560523,1.492598,2.966105,3.300248,0.721116,-68.774445,6.162639
0.050000,2.714563,1.456584,3.124300,3.163898,-2.726990,-68.962112,5.949571
0.050000,2.849590,1.396352,3.272151,2.957021,-4.137554,-28.211285,5.783451
0.050000,2.966704,1.322220,3.410756,2.772106,-3.698303,8.785025,5.659137
