dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001197,-0.223100,0.001132,0.045290,0.905796,18.115918,0.000402
0.050000,0.004869,-0.223096,0.004804,0.073436,0.562930,-6.857317,0.001635
0.050000,0.010989,-0.223080,0.010925,0.122410,0.979484,8.331078,0.003693
0.050000,0.019560,-0.223036,0.019495,0.171410,0.979982,0.009967,0.006583
0.050000,0.030581,-0.222943,0.030517,0.220443,0.980677,0.013886,0.010312
0.050000,0.044056,-0.222773,0.043993,0.269522,0.981563,0.017731,0.014891
0.050000,0.059987,-0.222492,0.059926,0.318653,0.982637,0.021472,0.020330
0.050000,0.078374,-0.222060,0.078318,0.367848,0.983890,0.025071,0.026644
0.050000,0.099220,-0.221430,0.099174,0.417114,0.985314,0.028481,0.033850
0.050000,0.122526,-0.220546,0.122497,0.466459,0.986897,0.031644,0.041964
0.050000,0.148293,-0.219347,0.148291,0.515890,0.988621,0.034490,0.051007
0.050000,0.176519,-0.217765,0.176562,0.565413,0.990468,0.036933,0.060999
0.050000,0.207203,-0.215723,0.207314,0.615034,0.992411,0.038870,0.071961
0.050000,0.240340,-0.213135,0.240552,0.664755,0.994420,0.040178,0.083917
0.050000,0.275923,-0.209910,0.276280,0.714577,0.996456,0.040716,0.096889
0.050000,0.313942,-0.205946,0.314505,0.764501,0.998472,0.040320,0.110899
0.050000,0.354383,-0.201134,0.355232,0.814522,1.000412,0.038809,0.125970
0.050000,0.397226,-0.195357,0.398463,0.864632,1.002211,0.035981,0.142122
0.050000,0.442449,-0.188489,0.444204,0.914822,1.003793,0.031622,0.159373
0.050000,0.490019,-0.180394,0.492458,0.965075,1.005068,0.025516,0.177736
0.050000,0.539898,-0.170933,0.543227,1.015372,1.005941,0.017449,0.197223
0.050000,0.592039,-0.159954,0.596511,1.065687,1.006302,0.007231,0.217836
0.050000,0.646386,-0.147304,0.652310,1.115989,1.006038,-0.005288,0.239573
0.050000,0.702871,-0.132822,0.710622,1.166241,1.005028,-0.020190,0.262423
0.050000,0.761416,-0.116342,0.771442,1.216398,1.003155,-0.037469,0.286364
0.050000,0.821929,-0.097699,0.834763,1.266414,1.000305,-0.056996,0.311366
0.050000,0.884309,-0.076724,0.900575,1.316233,0.996380,-0.078497,0.337383
0.050000,0.948438,-0.053251,0.968865,1.365798,0.991304,-0.101532,0.364360
0.050000,1.014188,-0.027119,1.039617,1.415049,0.985029,-0.125487,0.392225
0.050000,1.081417,0.001828,1.112813,1.463927,0.977550,-0.149582,0.420896
0.050000,1.149974,0.033736,1.188432,1.512372,0.968905,-0.172899,0.450275
0.050000,1.219697,0.068741,1.266449,1.560331,0.959184,-0.194430,0.480252
0.050000,1.290416,0.106965,1.346836,1.607758,0.948527,-0.213145,0.510710
0.050000,1.361956,0.148513,1.429567,1.654614,0.937123,-0.228077,0.541519
0.050000,1.434141,0.193478,1.514611,1.700874,0.925202,-0.238410,0.572547
0.050000,1.506793,0.241930,1.601937,1.746525,0.913024,-0.243556,0.603656
0.050000,1.579737,0.293924,1.691515,1.791568,0.900864,-0.243219,0.634709
0.050000,1.652806,0.349497,1.783316,1.836018,0.888992,-0.237424,0.665575
0.050000,1.725838,0.408669,1.877311,1.879901,0.877666,-0.226517,0.696126
0.050000,1.798684,0.471444,1.973474,1.923257,0.867110,-0.211121,0.726243
0.050000,1.871205,0.537814,2.071781,1.966132,0.857507,-0.192077,0.755819
0.050000,1.943277,0.607754,2.172210,2.008581,0.848989,-0.170356,0.784758
0.050000,2.014787,0.681234,2.274743,2.050663,0.841640,-0.146977,0.812977
0.050000,2.085640,0.758212,2.379365,2.092438,0.835494,-0.122924,0.840408
0.050000,2.155753,0.838641,2.486063,2.133965,0.830539,-0.099084,0.866995
0.050000,2.215001,0.905909,2.575703,1.792794,-6.823423,-153.079258,0.807112
0.050000,2.274020,0.961580,2.656836,1.622665,-3.402577,68.416934,0.698971
0.050000,2.334564,1.005811,2.731816,1.499591,-2.461490,18.821741,0.553217
0.050000,2.394071,1.035499,2.798318,1.330038,-3.391054,-18.591296,0.359484
0.050000,2.450511,1.049678,2.856511,1.163874,-3.323276,1.355568,0.123580
0.050000,2.506865,1.049636,2.912865,1.127073,-0.736022,51.745081,6.162639
0.050000,2.568451,1.034985,2.976170,1.266092,2.780377,70.327970,5.949571
0.050000,2.635774,1.004718,3.049984,1.476282,4.203810,28.468662,5.783451
0.050000,2.705978,0.960120,3.133156,1.663443,3.743211,-9.211970,5.659137
0.050000,2.776435,0.903917,3.223283,1.802549,2.782120,-19.221818,5.565905
0.050000,2.846793,0.837714,3.319891,1.932158,2.592173,-3.798939,5.501728
0.050000,2.943668,0.749596,3.450848,2.619129,13.739419,222.944917,5.591555
0.050000,3.053605,0.668443,3.587493,2.732903,2.275486,-229.278656,5.707024
0.050000,3.179674,0.598884,3.731478,2.879705,2.936043,13.211140,5.855648
0.050000,3.323314,0.548584,3.883671,3.043858,3.283068,6.940502,6.041450
0.050000,3.480400,0.527166,4.042210,3.170778,2.538391,-14.893542,6.256083
0.050000,3.638737,0.540247,4.201087,3.177544,0.135312,-48.061591,0.190601
0.050000,3.784127,0.583366,4.352735,3.032970,-2.891481,-60.535859,0.382118
0.050000,3.910350,0.646048,4.493666,2.818602,-4.287354,-27.917463,0.535320
0.050000,4.018699,0.719603,4.624623,2.619153,-3.988971,5.967664,0.653696
0.050000,4.112480,0.798730,4.747326,2.454048,-3.302101,13.737395,0.745068
0.050000,4.185507,0.869076,4.848723,2.027952,-8.521925,-104.396479,0.750996
0.050000,4.245218,0.920424,4.927477,1.575065,-9.057730,-10.716102,0.665591
0.050000,4.304244,0.962215,4.999799,1.446457,-2.572162,129.711369,0.561552
0.050000,4.361391,0.993563,5.064980,1.303606,-2.857028,-5.697322,0.435695
0.050000,4.415468,1.014214,5.122866,1.157724,-2.917646,-1.212354,0.287339
0.050000,4.466042,1.024824,5.174540,1.033482,-2.484840,8.656121,0.121317
0.050000,4.514075,1.026542,5.222604,0.961283,-1.443966,20.817478,6.232451
0.050000,4.561358,1.020165,5.270316,0.954234,-0.140987,26.059567,6.068942
0.050000,4.609056,1.005989,5.320075,0.995187,0.819054,19.200827,5.924715
0.050000,4.657106,0.984444,5.372735,1.053191,1.160084,6.820597,5.803588
0.050000,4.704755,0.956444,5.428002,1.105340,1.042991,-2.341863,5.704257
0.050000,4.751201,0.923218,5.485108,1.142133,0.735847,-6.142874,5.623289
