dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001107,0.000000,0.001132,0.045290,0.905796,18.115918,0.000402
0.050000,0.004504,0.000004,0.004529,0.090580,0.905796,0.000000,0.001635
0.050000,0.010165,0.000019,0.010190,0.135869,0.905796,-0.000000,0.003693
0.050000,0.018091,0.000059,0.018116,0.181159,0.905796,0.000000,0.006583
0.050000,0.028281,0.000146,0.028306,0.226449,0.905796,0.000000,0.010312
0.050000,0.040734,0.000302,0.040761,0.271739,0.905796,-0.000000,0.014891
0.050000,0.055451,0.000562,0.055480,0.317029,0.905796,0.000000,0.020330
0.050000,0.072430,0.000960,0.072464,0.362318,0.905796,0.000000,0.026644
0.050000,0.091669,0.001542,0.091712,0.407608,0.905796,0.000000,0.033850
0.050000,0.113167,0.002358,0.113224,0.452898,0.905796,-0.000000,0.041964
0.050000,0.136918,0.003462,0.137002,0.498188,0.905796,0.000000,0.051007
0.050000,0.162919,0.004920,0.163043,0.543478,0.905796,-0.000000,0.060999
0.050000,0.191162,0.006800,0.191349,0.588767,0.905796,0.000000,0.071961
0.050000,0.221640,0.009180,0.221920,0.634057,0.905796,-0.000000,0.083917
0.050000,0.254341,0.012144,0.254755,0.679347,0.905796,0.000000,0.096889
0.050000,0.289251,0.015783,0.289855,0.724637,0.905796,-0.000000,0.110899
0.050000,0.326353,0.020198,0.327219,0.769927,0.905796,0.000000,0.125970
0.050000,0.365626,0.025493,0.366847,0.815216,0.905796,0.000000,0.142122
0.050000,0.407043,0.031784,0.408740,0.860506,0.905796,-0.000000,0.159373
0.050000,0.450574,0.039191,0.452898,0.905796,0.905796,0.000000,0.177736
0.050000,0.496182,0.047843,0.499320,0.951086,0.905796,0.000000,0.197223
0.050000,0.543823,0.057873,0.548007,0.996376,0.905796,0.000000,0.217836
0.050000,0.593447,0.069424,0.598958,1.041665,0.905796,0.000000,0.239573
0.050000,0.644994,0.082640,0.652173,1.086955,0.905796,-0.000000,0.262423
0.050000,0.698397,0.097672,0.707653,1.132245,0.905796,0.000000,0.286364
0.050000,0.753581,0.114674,0.765398,1.177535,0.905796,-0.000000,0.311366
0.050000,0.810459,0.133799,0.825407,1.222824,0.905796,-0.000000,0.337383
0.050000,0.868936,0.155203,0.887680,1.268114,0.905796,0.000000,0.364360
0.050000,0.928909,0.179039,0.952218,1.313404,0.905796,0.000000,0.392225
0.050000,0.990263,0.205456,1.019020,1.358694,0.905796,0.000000,0.420896
0.050000,1.052878,0.234599,1.088087,1.403984,0.905796,-0.000000,0.450275
0.050000,1.116624,0.266603,1.159419,1.449273,0.905796,-0.000000,0.480252
0.050000,1.181365,0.301596,1.233015,1.494563,0.905796,0.000000,0.510710
0.050000,1.246962,0.339694,1.308875,1.539853,0.905796,0.000000,0.541519
0.050000,1.313271,0.380999,1.387000,1.585143,0.905796,0.000000,0.572547
0.050000,1.380149,0.425600,1.467389,1.630433,0.905796,0.000000,0.603656
0.050000,1.447452,0.473573,1.550043,1.675722,0.905796,-0.000000,0.634709
0.050000,1.515039,0.524979,1.634962,1.721012,0.905796,0.000000,0.665575
0.050000,1.582776,0.579861,1.722144,1.766302,0.905796,0.000000,0.696126
0.050000,1.650531,0.638251,1.811592,1.811592,0.905796,0.000000,0.726243
0.050000,1.718185,0.700166,1.903304,1.856882,0.905796,0.000000,0.755819
0.050000,1.785622,0.765611,1.997280,1.902171,0.905796,-0.000000,0.784758
0.050000,1.852742,0.834580,2.093521,1.947461,0.905796,0.000000,0.812977
0.050000,1.919450,0.907055,2.192026,1.992751,0.905796,0.000000,0.840408
0.050000,1.985664,0.983013,2.292796,2.038041,0.905796,0.000000,0.866995
